,What Programming Language did you use?,What Game Engine (if any) did you use?,"What Programming Library/Framework did you use, if any?",What image editor did you use?,What sound effect generator/editor did you use?,What's your username/handle?,What's the name of your game?,What's the URL for your entry on the Ludum Dare site?,Did you finish?,What music composition software did you use?,What map/level editor did you use?,What timelapse capture tool did you use?,What OS did you develop on?,What modeling tool did you use?,Timelapse URL,Post-Mortem URL,Valid
4/24/2012 18:17:17,Java,,Slick2D,"Paint.net, GraphicsGale",BFXR,davidllanos22,Save the tiny world!,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10692,,"Ableton live, LSDJ",,,Windows,,,http://www.ludumdare.com/compo/2012/04/24/save-the-tiny-world-post-mortem/,
4/25/2012 8:41:58,java,custom,libgdx,gimp,bfxr,omaha,river runner,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5229,,custom,custom,custom,Mac,blender,http://www.youtube.com/watch?v=VTUXAE_e7l4,,
4/25/2012 10:04:56,Java,IGM2E (Custom),"LWJGL, Paulscode SoundLibrary",Gimp,SFXR,AngelDE98,The borders of Tiny World,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11776,,,,,Windows,,,,
4/25/2012 10:43:40,Java,Custom,libGDX,The Gimp,"Audacity, microphone",soy_yuma,Quarks vs Leptons!,http://www.ludumdare.com/compo/ludum-dare-23/?action=rate&uid=7620,,,,Screen ninja,"Windows, Mac",,not yet online!,http://www.ludumdare.com/compo/2012/04/23/the-end-is-nigh-yet-for-us-is-come/,
4/25/2012 11:04:21,Java,,"Chapters 3-5 in ""Beginning Android Games"" by Mario Zechner",Pixelseque,Plasma Sound,dr_soda,Burning Platform,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=8342,,SPC Music Sketchpad 2,,,Android - (Asus Transformer tablet),,https://plus.google.com/u/0/102774243227515837775/posts/DZ6YmkKq9w7,,
4/25/2012 12:17:08,Java,,"LWGL, Slick",Photoshop,sfxr,zackhovatter,PlanetSaver,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=8468,,,Vim (my levels are text files),ScreenNinja,Mac,,http://www.youtube.com/watch?v=bCFQ1OM4SMI&context=C4ae17cdADvjVQa1PpcFOjQd-Z2I0B4q4l8HyqeEZhWLGoDEkIuLw=,,
4/25/2012 15:00:33,Java,,,"Gimp, Inkscape",BFXR,artefon,Chromatic Breeding,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10965,,,,,Linux,,,,
4/25/2012 15:00:50,Java,,libgdx,,,sudorossy,Tiny Catan,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7905,,,,Chronolapse,Windows,,http://www.youtube.com/watch?v=Nzk9MDBxeCU,,
4/25/2012 15:01:28,Java,,Slick,,SFXR,Darkhogg,Tiny Infection,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=2462,,,,Custom (sh script using scrot),Linux,,http://www.youtube.com/watch?v=I4zx0nMBPBE,,
4/25/2012 15:03:46,Java,slick,,GraphicsGale,,Danvil,The Plane Walker,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5851,,,Paint.net,Chronolapse,Windows,,http://www.youtube.com/watch?feature=player_detailpage&v=4QpoXLuxFAM,,
4/25/2012 15:05:24,Java,,Processing,Gimp,CFXR,Milo,Interplanetary Sumo,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=2934,,Garage Band,,Wrote my own (but it didn't work),Mac,,,http://www.ludumdare.com/compo/2012/04/23/postmortem-of-process/,
4/25/2012 15:07:07,Java,,Slick2D,Photoshop,SFXR,danlthemanl,Super Shotgun Showdown,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5573,,Garage Band,Photoshop,Chronolapse,"Windows, Mac, Linux",,http://youtu.be/XfwKef4DHvg,http://www.ludumdare.com/compo/2012/04/24/super-shotgun-showdown-post-mortem/,
4/25/2012 15:11:35,Java,,Java 2D,Paint.NET,sfxr,ghRibacki,Project Peace,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7839,,,,,Windows,,,http://www.ludumdare.com/compo/2012/04/23/project-peace-successes-failures-lessons-learned/,
4/25/2012 15:11:43,Java,,libgdx,Paint.net,BFXR,0x17,0x17's-TinyWorld,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=4765,,FL Studio,,,Windows,,,,
4/25/2012 15:54:53,Java,custom,custom,Photoshop,CFXR,hume,Conqueror,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11218,,MilkyTracker,LibreOffice,Gawker,Mac,Wings3D,http://humespeaks.tumblr.com/post/21631781353/here-is-a-time-lapse-of-my-ludum-dare-23-entry,,
4/25/2012 16:09:19,Java,,Slick2D,"Photoshop, Paint.Net",SFXR,Hopps,Homedefender,http://www.ludumdare.com/compo/ludum-dare-23/?action=rate&uid=7316,,,,,Windows,,,,
4/25/2012 18:32:22,Java,,"Slick2D, JBox2D, ",,BFXR,Jiddo,Last World,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11351,,,,,"Windows, Linux",,,,
4/25/2012 23:19:42,Java,,,"Paint, GIMP",sfxr,noddy2006,trapped.,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=9896,,FL Studio,,Chronolapse,Windows,,,,
4/26/2012 1:34:41,Java,,,Paint.net,"SFXR, Audacity",Phased,Vesta: Galactic Convict Colony,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10780,,otomata,,,Windows,,,,
4/26/2012 9:38:53,Java,,,Photoshop,reason / cubase,binary_girl,slime mold,http://www.ludumdare.com/compo/ludum-dare-23/?action=rate&uid=8824,,"reason, cubase",,,Windows,,,,
4/26/2012 9:41:22,Java,,LWJGL,Gimp,SFXR,Jack,Intertubes,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7315,,,Custom,,"Windows, Mac, Linux",,,,
4/26/2012 9:59:58,Java,,LWJGL,Paint.NET,SFXR,the8donut,Free Donutia,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10453,,,,Chronolapse,Windows,,http://www.youtube.com/watch?v=MB06ndhPjyo,,
4/26/2012 10:16:44,Java,,LWJGL,,ASFXR,deps,Zilla the Destroyer,http://www.ludumdare.com/compo/ludum-dare-23/?action=rate&uid=1116,,,,,Mac,Blender,,,
4/26/2012 10:23:54,Java,,,,Musagi,drabiter,Narrow,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=8337,,,,,"Windows, Mac, Linux",,,http://www.ludumdare.com/compo/2012/04/22/simple-post-mortem/,
4/26/2012 12:17:24,Java,,GWT,Paint.net,BFXR,Thinkofdeath,Tiny Apocalypse,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11128,,,,,Windows,,,,
4/26/2012 13:48:55,Java,,,Paint.net,BFXR,waschnick,Rat Conquest,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=9578,,Aviary,,Chronolapse,Windows,,,,
4/26/2012 14:35:38,Java,,"libgdx, box2d, artemis",Paint.net,,badlydrawnrod,Tiny Territories,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=745,,,,,Windows,,,,
4/26/2012 14:36:11,Java,,,Paint.net,"SFXR, Audacity",Evgis,Face the truth,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12507,,,,Chronolapse,"Windows, Mac, Linux, Anything that supports applets",,http://www.youtube.com/watch?v=Ykhqasm5O2M,,
4/26/2012 14:41:16,Java,,Slick2D,Gimp,BFXR,caranha,The Underground Court,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7847,,"Autotracker, Audacity",,bash script,Linux,,http://www.youtube.com/watch?v=cC3GeK9PHo8,http://www.ludumdare.com/compo/2012/04/23/postmortem-for-the-underground-host-a-tale-of-failed-ambition/,
4/26/2012 15:27:28,Java,,LWJGL,Paint.net,,Jeroenimooo,Rockland,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=9361,,,,,Windows,,,,
4/26/2012 15:39:52,Java,,,Paint.net,Audacity,Dracir,Tiny world survival,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=8048,,,,,Windows,,,,
4/26/2012 16:12:58,Java,Custom,Slick2D,Paint.net,BFXR,sampyxis,Propolis,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=6533,,Aviary,Tiled,,Windows,,,,
4/26/2012 17:04:17,Java,,libgdx,corel painter,,jeffz,Most of us live in a tiny world,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=4842,,sibelius,,,Windows,,,,
4/26/2012 19:09:24,Java,,Slick2D,Gimp,,lifenoodles,!,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7207,,,Custom,,Linux,,,,
4/26/2012 19:59:32,Java,,,Paint.net,,haslettj,Tiny Defense,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11411,,,,,Windows,,,,
4/27/2012 1:01:53,Java,,LWJGL,Inkscape,,greg20man,Home is where the robots are.,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11425,,,,,Windows,,,,
4/27/2012 2:51:54,Java,Custom,Custom,Gimp,,Ingon,Virus Wars,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5130,,,,,Mac,,,,
4/27/2012 3:24:14,Java,Custom,Libgdx,Gimp,Audacity,Thotep,Tiny God wants a Bigger World ,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12581,,,,,Windows,,,,
4/27/2012 3:54:36,java,,,Gimp,,solokix334,tiny worlds thing,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10216,,,,,Linux,,,http://www.ludumdare.com/compo/2012/04/24/post-mortem-20/comment-page-1/#comment-44042,
4/27/2012 8:05:13,Java,,libgdx,Gimp,sfxr,devince,Tiny Galaxy,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11818,,autotracker,,Chronolapse,Windows,,http://youtu.be/6oM7WsunRjI,http://www.ludumdare.com/compo/2012/04/23/tiny-galaxy-post-mortem/,
4/27/2012 8:21:36,Java,,Slick,Photoshop,BFXR,berkano,Freddies,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11027,,OpenMPT,Tiled,Chronolapse,Windows,,http://www.youtube.com/watch?v=6umjwtMx1kw,,
4/27/2012 9:10:45,Java,,Libgdx,"Gimp, Inkscape, Pinta",as3sfxr,lilleman,The Lair,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=8385,,,,Chronolapse,Linux,,http://www.youtube.com/watch?v=WbKdu3xIrQ8,,
4/27/2012 13:01:36,Java,libgdx,,aseprite,BFXR,unigee,Tiny Worlds,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11100,,Audacity,,Chronolapse,Windows,,http://www.youtube.com/watch?v=5AoE6gfmxkE,,
4/27/2012 14:58:39,Java,,,Paint.net,SFXR,Nidjo123,BeetleVenture,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=8224,,,,,Windows,,,,
4/27/2012 16:34:48,Java,,,Paint.NET,,andyrofl,The Tower of the Four Winds,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7266,,,,,Windows,,,http://www.ludumdare.com/compo/2012/04/27/tower-of-the-four-winds-post-mortem/,
4/27/2012 21:36:39,Java,,,,,DeadlyFugu,Land of Food,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=8281,,,,Chronolapse,Windows,,,,
4/28/2012 4:48:16,Java,,lwjgl,Paint.net,SFXR,Th3dz,The Island,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7478,,Cubase SX,Tiled,,"Windows, Mac, Linux",,,,
4/28/2012 13:15:29,Java,Marte Engine,Slick2D,Gimp,BFXR,CNIAngel,A Robot's Journey,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7081,,Musagi,,,Windows,,,http://www.ludumdare.com/compo/2012/04/28/a-robots-journey-post-mortem/,
4/29/2012 10:13:56,Java,,Slick2D,Gimp,BFXR,whoosy,Tiny World Defense,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7459,,,,,"Windows, Mac, Linux",,,,
4/29/2012 10:26:21,Java,,Slick2D,,,kibertoad,"Submarine: This Ain't Your Momma's Bathtub, Tovarisch",http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7122,,,,,Windows,,,,
4/29/2012 11:16:48,Java,custom,default java stuff,Paint.net,,Axelhein,The World Below,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7228,,,Paint.net,Chronolapse,"Windows, Mac, Linux, Web",,http://www.youtube.com/watch?v=UbUrvcaDbmM&feature=plcp,http://www.ludumdare.com/compo/2012/04/29/the-world-below-post-mortem-and-timelapse/,
5/1/2012 16:19:55,Java,,,Inkscape,SFXR,HeyChinaski,Astro Gardener,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11211,,,,,Windows,,,http://www.ludumdare.com/compo/2012/04/22/finished-79/,
5/1/2012 18:41:49,Java,,LibGDX,"Gimp, Paint.net,MS Paint","SFXR, BFXR, Audacity",Zerod,Pixels World,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=8041,,,Ogmo Editor,Chronolapse,"Windows, Mac, Linux, Android",,http://www.youtube.com/watch?v=Kkqk_ej_lMU,http://www.ludumdare.com/compo/2012/04/24/timelapse-and-android/,
5/2/2012 6:15:26,Java,,Processing,"Photoshop, Illustrator",BFXR (intended),chambers,Recluse,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11981,,,Tiled,Chronolapse,Windows,,http://www.youtube.com/watch?v=CQmvN3Mexy4,http://www.ludumdare.com/compo/2012/05/02/recluse-postmortem-or-my-hits-and-misses-let-me-show-you-them/,
5/2/2012 13:06:29,Java,Custom,"LWJGL (OpenGL), slick_util","Flash, Photoshop","BFXR, Audacity",CireNeikual,Tiny Apacolypse,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7769,,,Custom,,"Windows, Mac, Linux",,,,
5/2/2012 14:30:33,Java,,,Paint.NET,SFXR,AyCe,Gravitation,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=3852,,OpenMPT,,,"Windows, Linux",,,,
5/4/2012 16:24:05,Java,None,None,Paint.Net,Voice,ratboy2713,Path O' Invasion,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5162,,None,None,Chronolapse,Windows,None,http://www.youtube.com/watch?v=IFVEMojXQrE&feature=youtu.be,http://www.ludumdare.com/compo/2012/05/04/path-o-invasion-post-mortem/,
4/25/2012 17:02:04,Java 7,,"LWJGL, Slick2d",Paint.net,"SFXR,",Zoomyzoom,The Cube Realms,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7301,, Sunvox,Notepad++,Chronolapse,Windows,,http://www.youtube.com/watch?v=rBephfgilvM,,
4/24/2012 13:26:09,"Java, Processing",,"Piccolo2D, Piccolo2D library for Processing, Beads library for Processing",Gimp,"Audacity, Animoog, Garage Band",heuermh,tr-3012,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=1864,,Garage Band,,,"Mac, Linux, iOS",,,,
4/25/2012 20:18:55,"java, javascript",,Processing,aseprite,my desk and the crap on it,Andrew,I Want To Turn The Heater On,www.ludumdare.com/compo/ludum-dare-23/?action=rate&uid=5432,,,,,"Windows, Mac, Linux, Android",,,,
4/26/2012 18:50:40,"JavaScrip, C++",Unity,,"Paint, Gimp",SFXR,Mesene,Mesene's tiny world,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=6870,,,Unity,Chronolapse,Windows,Blender,http://bit.ly/MeseneLD23TimeLapse,,
4/24/2012 14:14:26,JavaScript,,CraftyJS,Paint.net,Audacity,sanojian,Shoebox World,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7542,,Musagi,,,Windows,,,,
4/24/2012 15:41:55,JavaScript,,,"Inkscape, Gimp",,LiquidAsh,World of desTiny,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=3415,,,Inkscape,Windows? PrtSc-key?,Windows,,na,na,
4/24/2012 15:50:08,JavaScript,,,Gimp,SFXR,emveyh,70 seconds of destruction,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=8574,,Sunvox,,,"Windows, Linux",,,,
4/24/2012 16:23:16,JavaScript,Unity,Unity,"Paint.NET, PyxelEdit","SFXR, BFXR",kroltan,The Little Glitch,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10851,,,Unity,,Windows,,,http://www.ludumdare.com/compo/2012/04/23/the-little-postmortem/,
4/25/2012 8:05:57,Javascript,,,Gimp,,thristhart,Brevity,http://www.ludumdare.com/compo/ludum-dare-23/?action=rate&uid=3164,,Autotracker,,Chronolapse,"Windows, Linux",,,,
4/25/2012 10:41:05,JavaScript,Unity,,"Inkscape, Photoshop",Audacity,jceipek,dot,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=8564,,GarageBand,Unity,Custom shellscript,Mac,Blender,http://www.youtube.com/watch?v=OsU9DvKNrxY,http://www.ludumdare.com/compo/2012/04/23/dot-postmortem/,
4/25/2012 11:35:57,JavaScript,Unity,,"Photoshop Elements, GraphicsGale",Bfxr,davisan,Little Sky,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10464,,Finale Notepad 2008,Unity,Chorolapse,Windows,Blender,http://www.youtube.com/watch?v=BE1giHECDpU&context=C420a2a0ADvjVQa1PpcFP7pHYyBofGaBQzNKqPQYZIEcvU3myFeBw=,,
4/25/2012 14:33:24,JavaScript,,,,,Cosmologicon,Tondie and Zupe,http://www.ludumdare.com/compo/ludum-dare-23/?action=rate&uid=1151,,,,,Linux,,,,
4/25/2012 14:53:50,Javascript,,,Gimp,BFXR,orangepascal,Predicament,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12805,,,,,Mac,,,http://www.ludumdare.com/compo/2012/04/23/predicament-post-mortem/,
4/25/2012 15:01:10,JavaScript,,Craftyjs,"MSPaint, Gimp",,brackcurly,it's a tab,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7465,,,,,Windows,,,,
4/25/2012 15:01:30,JavaScript,Unity,,Photoshop,,Tokken18,Destroy the Alien Planet,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5610,,,,Screen Ninja,Mac,Cinema4D,http://www.youtube.com/watch?v=mvq7gcJi92Y,,
4/25/2012 15:06:50,JavaScript,,ImpactJS,Inkscape,BFXR,Th3ub3r3x,Germ Buster,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7541,,Garage Band,Custom,,Mac,,,,
4/25/2012 15:10:22,JavaScript,Unity,,Photoshop,Audacity,EricTheCoolDude,DINO-CAB,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=3430,,Cubase,Unity,Chronolapse,Windows,Blender,Will be posted soon on youtube.com/reallyhandsomepeople,will be posted soon,
4/25/2012 15:48:26,JavaScript,Unity,,Photoshop,,matthias_zarzecki,My Little Planetoid,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=3880,,Guitar Pro 5,Unity,Chronolapse,"Windows, Mac",3d Studio Max,http://www.youtube.com/watch?v=crXOE72dYWs,,
4/25/2012 16:49:22,Javascript,,crafty.js,Paint.net,SFXR,jplur,Alien Archaeologist,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=1066,,"Audacity, Sunvox",,Chronolapse,Browser - HTML5,,http://www.youtube.com/watch?v=1CkHIs445Vo,,
4/25/2012 17:44:35,Javascript,,"CraftyJS, jQuery, Underscore.js","Inkscape, Gimp",as3sfxr,mildmojo,Single Cycles,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=6748,,,,,Mac,,,,
4/25/2012 23:05:23,JavaScript,Unity,,,BFXR,Terra,Bunny Cube,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=2414,,,Unity,,Windows,,,http://www.ludumdare.com/compo/2012/04/25/bunny-cube-post-mortem/,
4/26/2012 1:16:21,Javascript,,,Gimp,Audacity,Fenmar,The Island of Dare,http://fenmar.de/LD23,,inudge,Tiled,Chronolapse,Windows,,http://www.youtube.com/watch?v=wA7E7KSc-98,http://www.ludumdare.com/compo/2012/04/23/lessons-learned-4/,
4/26/2012 3:50:41,JavaScript,,Custom (http://www.assembla.com/code/fm-javascript-framework/subversion/nodes),"Inkscape, GraphicsGale",Bfxr,simonchauvin,Perspectives,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=9596,,Otomata,Ogmo Editor,,Windows,,,http://www.ludumdare.com/compo/2012/04/23/im-done-and-i-have-something-to-tell/,
4/26/2012 5:05:03,Javascript,PlayCanvas,PlayCanvas,,"BFXR, Audacity",daredevildave,LittlePlanetBigRocket,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5182,,,PlayCanvas,,"Windows, Mac",Maya,,,
4/26/2012 6:54:02,Javascript,Unity,,Photoshop,"SFXR, Audacity,Zerius Vocoder",refreshcreations,Gravity Force 3,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=6823,,,,Chronolapse,Windows,Milkshape 3d,http://youtu.be/bsZ0dRSMTi0,http://www.ludumdare.com/compo/2012/04/23/gravity-force-3-postmortem/,
4/26/2012 9:58:50,JavaScript,,CraftyJS,Gimp,SFXR,Bei,Biological Warfare,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11498,,,,,Windows,,,,
4/26/2012 10:01:37,JavaScript,Akihabara,,Gimp,SFXR,gameblaster64,Cytokine,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10875,,Autotracker,Google Docs Spreadsheet,,Windows,,,,
4/26/2012 12:03:43,Javascript,,ImpactJS,Photoshop,as3sfxr,Datamosh,Only Us,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10942,,Ableton Live,ImpactJS Editor,,"Windows, Mac",,,http://www.ludumdare.com/compo/2012/04/24/only-us-postmortem/,
4/26/2012 12:30:53,Javascript,Unity,,Photoshop,BFXR,Chinchilla,Aloft,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5017,,FL Studio,Unity,,Windows,Blender,,http://www.ludumdare.com/compo/2012/04/24/aloft-gameplay-video-mini-pm/,
4/26/2012 12:51:52,JavaScript,Custom,,Paint.net,,hazzen,doggone,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=1925,,Aviary,,,"Windows, Linux",,,http://www.ludumdare.com/compo/2012/04/24/doggone-postmortem/,
4/26/2012 13:04:51,Javascript,,,Microsoft Paint,,william_edwards,The Small World of Professor Strange,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10313,,,,,Linux,,,http://www.ludumdare.com/compo/2012/04/24/the-small-world-of-professor-strange-autopsy/,
4/26/2012 13:18:07,JavaScript,Sublime-Text,Custom,Paint.net,SFXR,FrozenCow,Trucking the Universe,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=8435,,,,Chronolapse,Windows,,http://www.youtube.com/watch?v=PUh51e3Iu88,,
4/26/2012 13:27:26,Javascript,,,"Pickle, Gimp",,Entrails,Ant's Quest,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12255,,,Tiled,,Windows,,,,
4/26/2012 14:36:17,JavaScript,Custom,CreateJS,"Photoshop, Pickle","SFXR, Audacity",ChronoDK,Sun Bringers,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10849,,,,Chronolapse,Windows,,,http://www.ludumdare.com/compo/2012/04/26/sun-bringers-post-mortem/,
4/26/2012 15:02:52,JavaScript,Cocos2d-javascript,,Gimp,,Nehmulos,iblic,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=9775,,,,Custom,Linux,,,,
4/26/2012 15:44:45,JavaScript,,,Paint Shop Pro 7,,Tange,Tiny Blastoff,http://protonode.com/tinyblastoff,,Audacity,,,Windows,,,,
4/26/2012 15:51:50,javascript,,,,cfxr,orunbot,the last ride home,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7708,,,,,Mac,,,,
4/26/2012 16:33:46,Javascript,,,"Graphicsgale, Gimp",sfxr,qaterknan,Nano strike,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11181,,,,,"Windows, Linux",,,,
4/26/2012 17:45:29,JavaScript,Unity,,Paint.net,SFXR,arhpositive,World Gone Wrong,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11575,,,,,Windows,,,http://www.ludumdare.com/compo/2012/04/24/world-gone-wrong-postmortem/,
4/26/2012 18:08:40,JavaScript,Custom,"html5boilerplate, jQuery","Inkscape, Gimp","SFXR, Audacity",mneubrand,Bacterial World,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11653,,"cgMusic, Otomata",Custom,,Linux,,,http://www.ludumdare.com/compo/2012/04/22/bacterial-world-post/,
4/26/2012 18:14:42,JavaScript,Unity,,pixlr.com,BFXR,RobProductions,Invasion Of The Trivials,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7405,,Garage Band,Unity,Custom Terminal Script,Mac,Blender,http://www.youtube.com/watch?v=uhHul6AVyJ4,,
4/26/2012 18:20:10,JavaScript,,,Custom,CFXR,madmaw,(Tiny) Worlds of Illusion,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5068,,"http://codeminion.com/blogs/maciek/2008/05/cgmusic-computers-create-music/, Garage Band",,,Mac,,,,
4/26/2012 18:32:38,JavaScript,,JQuery,Gimp,,Niavlys,Sprace,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=8666,,,,,Linux,,,,
4/26/2012 18:56:28,Javascript,,,Paint.net,SFXR,lorancou,Tiny Quest,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=8588,,,,,Windows,,,,
4/26/2012 19:24:08,Javascript,,,,,pom,Full Metal Planetoid,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12307,,,,,Mac,,,,
4/26/2012 20:18:09,Javascript,,,Gimp,"bfxr, audacity",wibblymat,Invaders!,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11132,,,,,Linux,,,http://www.ludumdare.com/compo/2012/04/25/the-obligatory-post-mortem/,
4/27/2012 2:10:56,JavaScript,,,GIMP,,madflame991,Space Bear,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5035,,,,,Windows,,,,
4/27/2012 5:01:58,JavaScript,,,MS Paint,,Killswitch,Nature Wisp,http://killemall.hostei.com/Game/Nature%20Wisp.htm,,,,,HTML5,,,,
4/27/2012 10:28:22,JavaScript,,,Gimp,SFXR,tdsmale,Itty Bitty Dimension Warp,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11017,,,,,Windows,,,,
4/27/2012 11:06:20,javascript,,,"inkscape, gimp",,brodavi,kittenworld,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=8067,,milkytracker,,,Linux,,,,
4/27/2012 14:51:45,Javascript,,,Photoshop,BFXR,yosh,Flyght,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=6851,,Garage Band,Text editor x),,"Windows, Mac",,,,
4/28/2012 1:07:28,JavaScript,,,"Gimp, Dan's Tile Maker",sfxr,dansludumdare,Terraformer Breath,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10841,,,,,Windows,,,http://www.ludumdare.com/compo/2012/04/24/terraformer-breath-post-mortem/,
